# {'t_start': '2024-05-04_19-03-11', 'model': '3D'} 
return,length,time
7.092778,17,13.644362
11.258964,26,27.247973
5.397306,12,33.713326
9.197568,23,60.452726
5.882904,12,66.793082
14.303286,31,84.000919
9.046866,22,96.174179
5.538362,12,103.097862
5.973117,14,110.627635
10.663751,26,126.762011
7.399862,20,138.283789
11.619383,29,154.512044
8.576328,22,168.544141
13.519921,33,187.835799
4.175988,10,193.401302
10.071748,24,208.126872
6.882811,16,218.626031
6.488443,16,227.684053
4.110595,10,234.988639
11.508088,29,251.218933
8.216042,22,263.498317
5.268517,14,270.549705
7.827452,18,281.21662
5.88926,13,288.23739
6.416705,16,297.607211
6.563499,16,306.42744
9.860788,25,322.473195
8.429398,21,334.182318
6.317412,15,343.502205
11.883771,28,359.837992
4.552354,12,367.015702
4.923573,13,374.249227
12.4706,31,395.001701
9.667242,23,409.263921
15.460807,39,431.358665
14.184969,34,451.028579
15.560668,38,473.356783
5.021822,13,480.708862
11.06311,28,496.518357
6.199511,16,506.16344
6.627281,16,515.750731
9.303379,22,529.456729
9.047073,24,543.288614
12.547441,27,559.80632
23.923459,58,592.913752
8.348577,21,604.535057
8.679592,21,616.599128
14.40874,35,638.061974
3.633153,9,643.052171
5.505723,14,651.326344
12.330239,33,670.577392
6.003807,16,679.682877
19.110397,49,708.73614
4.272499,10,713.920661
7.738429,19,725.62029
4.678789,12,731.782576
6.390394,16,740.548416
6.379656,14,748.979755
2.726371,9,754.248316
10.107085,27,771.601759
10.179128,26,786.418427
4.612862,12,793.507262
4.920552,13,801.260897
12.035392,31,818.854
10.913269,31,836.398521
11.90297,28,852.007024
6.641109,16,862.137292
10.893766,29,879.323483
7.623769,19,890.839088
6.076864,17,900.246993
7.393646,18,910.712068
5.851213,15,919.647377
7.536088,20,931.709858
4.111132,11,937.687899
6.257055,16,946.909409
6.953815,16,956.856213
4.938885,12,962.698509
11.692286,28,979.977432
10.925948,27,996.726981
9.385867,25,1011.482034
9.225792,25,1026.479979
5.054034,12,1033.217584
4.351904,12,1039.78769
12.116211,30,1057.203956
6.511072,18,1067.278519
10.262856,26,1082.37509
8.112277,21,1094.21629
5.080481,13,1101.590135
9.394475,24,1115.699862
8.719515,22,1128.529469
6.654303,17,1138.274929
12.240651,30,1156.898585
9.702462,23,1171.395669
4.689906,12,1178.949949
7.457512,18,1189.82701
10.32173,26,1206.401778
6.457426,14,1215.451269
2.781942,8,1220.167448
9.644023,24,1235.325082
8.745511,20,1250.463253
12.493193,29,1268.365626
11.004816,26,1286.953629
12.748356,33,1308.785851
4.416096,11,1316.323212
8.622964,22,1329.553775
15.093428,37,1352.534514
6.69413,16,1362.725444
10.120102,26,1377.811217
11.662456,27,1394.03096
10.883304,29,1412.511449
9.144902,25,1427.556721
7.04829,18,1438.809162
7.32021,18,1450.351675
4.038897,12,1458.320636
10.440042,27,1475.422892
5.280019,14,1483.763715
7.799165,20,1496.606805
7.852202,20,1509.247432
10.75564,28,1527.899217
8.849671,22,1542.348813
12.488318,30,1560.9211
3.985886,10,1567.893023
13.303565,32,1587.194613
14.278064,32,1607.107446
6.147314,15,1616.609657
10.552813,23,1630.689734
5.833891,13,1638.151579
5.222486,13,1645.368441
8.720523,22,1658.702025
7.95979,20,1671.121825
4.516698,12,1677.93684
9.205715,23,1692.079879
10.152342,27,1707.717008
8.970867,24,1720.760807
14.577197,37,1743.924422
5.146484,14,1753.123025
9.702983,22,1766.945126
6.507711,15,1775.943972
4.743714,13,1782.782964
7.944555,18,1793.452389
12.253638,29,1809.782833
4.923612,13,1817.12745
4.22337,11,1823.753915
10.375112,26,1839.788013
10.314549,26,1855.93179
11.779678,30,1873.005898
11.96766,31,1891.590975
12.061675,28,1908.163214
3.15469,9,1913.248073
13.252345,34,1933.231686
9.121773,23,1946.811635
11.470032,28,1963.004607
3.413463,9,1968.767403
5.587532,13,1977.560518
9.823326,25,1992.416783
24.392571,54,2025.464411
9.22284,23,2040.390359
3.572073,9,2045.607916
11.393604,28,2063.326798
13.572546,31,2082.717063
3.697133,11,2088.651367
4.154205,13,2096.954228
5.317902,13,2104.825122
7.550637,18,2115.507428
6.826476,16,2125.777426
9.463959,24,2140.198336
9.824217,24,2154.648293
5.326149,17,2165.510155
13.008442,33,2185.638247
10.862718,27,2201.752376
9.540428,24,2216.880515
11.185254,28,2235.817899
10.42823,26,2252.74528
7.502082,19,2266.04813
6.895897,18,2276.955039
4.526976,13,2284.713867
4.72744,12,2291.683343
7.410338,21,2304.436435
7.990787,18,2314.862589
5.175569,12,2321.894424
10.272215,26,2337.372894
15.095693,35,2360.121953
9.368936,28,2378.095996
4.542416,12,2385.660047
5.461646,12,2393.950273
8.229973,22,2407.993596
5.688163,13,2415.778162
8.004545,20,2427.925689
4.309768,11,2434.452937
5.796106,15,2443.22018
11.004847,29,2461.531993
11.621895,29,2479.719067
10.70123,27,2495.903984
12.435788,34,2517.111562
5.566979,17,2527.724508
5.789447,16,2537.282909
5.244409,13,2544.965252
5.317046,13,2553.256282
8.162043,23,2567.43684
7.528043,19,2580.259179
5.522926,15,2588.700431
5.827077,16,2597.771345
6.941703,16,2606.933128
10.874665,27,2622.804302
10.381568,28,2638.943386
9.170897,22,2652.61845
3.965942,11,2659.210114
7.439129,20,2671.212593
15.852131,40,2696.313543
4.884232,15,2705.56453
4.763184,13,2714.146827
11.112891,26,2729.49828
7.272905,19,2740.486393
4.64569,12,2747.975467
5.296051,14,2756.458818
5.760147,16,2766.565334
6.873559,18,2777.810504
4.005143,11,2784.655323
7.319225,17,2795.216802
7.620791,19,2806.516505
3.467106,11,2813.090671
4.742586,13,2820.730293
7.03851,19,2832.071055
6.043776,15,2841.355226
9.409954,22,2854.360883
7.132069,18,2865.185049
4.946323,15,2874.550371
7.481263,19,2885.468026
5.084015,14,2893.455993
11.782692,29,2911.753436
6.259096,16,2922.537297
7.947317,20,2935.525868
5.598336,13,2943.428504
5.722764,13,2951.698112
5.420461,14,2960.079491
5.968661,15,2969.622351
5.396991,14,2978.444045
11.882357,26,2994.763288
3.936158,11,3001.003619
11.577559,27,3017.574366
12.353604,35,3038.602355
11.004978,28,3057.176197
9.396821,22,3070.416828
9.521571,25,3085.588508
8.92834,23,3099.237962
5.9517,14,3107.542083
4.17214,11,3113.999379
9.237799,20,3125.861649
4.434424,13,3133.126474
9.356495,23,3147.471653
7.048667,17,3158.102102
7.62066,18,3169.189189
4.881097,13,3176.031652
11.548548,30,3193.443699
5.677658,14,3201.458179
6.811853,19,3212.148701
4.899067,12,3219.549785
4.575893,13,3229.419879
4.20274,12,3236.596828
5.293704,13,3244.169922
10.080542,23,3257.076063
10.212511,24,3270.457289
6.13035,16,3280.843576
3.465146,11,3287.185965
14.746011,40,3311.877032
6.536729,15,3320.628286
7.629663,20,3332.15624
11.503619,28,3349.584666
5.722083,13,3357.47919
11.281027,28,3373.160529
5.553678,16,3382.601399
11.933384,29,3400.131644
10.816787,26,3414.725243
4.776941,11,3420.783264
4.393482,12,3427.265434
9.521711,23,3441.03913
9.84195,27,3457.83506
12.915978,29,3475.804333
6.884631,17,3485.84408
8.058941,21,3498.269703
12.704014,33,3517.792265
8.450356,20,3529.539193
7.899704,21,3542.496538
8.40285,18,3553.67182
5.31224,14,3562.734981
5.985167,17,3572.452404
6.254185,16,3581.757704
8.267213,21,3594.705075
13.552041,33,3614.860475
6.568702,18,3626.426673
6.600294,19,3638.4632
7.765914,17,3648.807892
20.213524,53,3682.614752
8.463077,22,3696.416026
3.897148,10,3703.056213
4.580102,12,3710.360654
4.678523,13,3719.701447
8.28606,21,3733.742361
3.261225,9,3739.852323
6.998476,20,3752.224205
14.626103,42,3778.147976
4.306163,11,3785.404517
